l1,l2,l3
229.96561904761904,231.39252380952382,231.78090476190474
230.96699999999998,233.49733333333333,233.55900000000003
229.51222222222222,232.67229960317462,232.0823174603173
229.49546825396826,231.8356587301587,232.3550793650794
229.8056471612323,232.48947725180747,233.07738610175093
229.44943055555552,232.25623304473302,232.47011670274173
229.15460714285723,232.0,232.35564880952384
229.32358333333335,232.66475,232.26591666666664
229.35968650793646,233.00091865079364,233.16129761904756
229.35968650793646,233.00091865079364,233.16129761904756
230.5504408091908,233.48775426656667,233.28843464868456
230.30569047619042,232.83784523809524,232.7000773809524
229.3660847763348,232.62831259018765,231.6771626984128
230.09842485410616,232.88530527073115,233.3764584635136
229.9789292929293,233.34469931457434,233.8669511183261
230.83632738095235,233.35419642857138,234.797777056277
231.58473394660905,234.37773538961042,234.3571708152958
230.52009523809528,233.42018650793648,233.39473611111111
230.32085119047616,233.1511298701299,233.76306295093798
229.18035714285713,232.20359523809523,232.8094523809524
229.02843122155627,232.1142815656566,232.1179590548341
229.15460714285723,232.0,232.35564880952384
229.7200714285714,232.96574999999993,232.22566666666668
228.6724603174603,231.60427380952385,230.88110714285713
229.22207575757574,232.0071742424242,231.58268181818178
230.30569047619042,232.83784523809524,232.7000773809524
229.8575,232.73375,232.44625
230.5504408091908,233.48775426656667,233.28843464868456
230.7121527916528,233.9006553446553,234.12325611888116
230.5991666666667,233.88541666666669,234.05052380952384
229.7200714285714,232.96574999999993,232.22566666666668
228.53698809523812,231.5342857142858,231.2213928571429
228.96716666666663,231.77216666666664,231.65675
229.69391666666664,231.4788333333333,231.97799999999998
230.054,232.54966666666667,232.5800833333333
228.39239499389504,232.00992582417578,231.23320757020755
227.8175,231.68875,231.2625
228.29625,232.7698333333333,232.1725
229.45229166666664,234.60854166666664,233.78166666666664
229.9468333333333,234.19033333333337,233.76150000000004
231.6027619047619,234.87969047619052,235.23840476190477
232.25833333333335,235.45858333333334,235.50858333333335
231.419,235.245,235.415
231.745,236.665,236.805
233.32,238.44,238.34
234.21,239.78,239.39
235.02,240.175,239.89
235.535,240.58,240.545
235.32,240.0,239.745
236.105,240.105,239.43
236.04,239.975,239.57
237.14,240.75,241.045
237.845,241.35,241.615
235.22,238.91,239.515
234.27,238.885,239.4
234.845,238.175,238.99
235.45,239.52,240.205
234.775,238.635,239.17
234.045,237.64,238.185
233.3095,237.983,237.7545
231.25508333333332,235.06784523809532,234.7904642857143
230.29750595238096,233.45484523809517,233.2786964285715
230.15,232.99,232.845
232.73358333333334,234.51577777777777,235.63625
231.1539325396826,233.84454960317456,234.3557738095238
231.58473394660905,234.37773538961042,234.3571708152958
229.87,233.185,232.79
227.517,231.89166666666668,230.48833333333332
227.8816666666667,232.05733333333333,230.8313333333333
228.915,232.795,231.67
228.063,231.9206666666667,230.44733333333335
227.80625,231.30958333333336,229.66541666666663
228.42891666666662,231.16808333333336,229.34099999999998
228.885,232.075,231.31
227.4774696969697,232.55602272727276,230.99027272727272
229.47515620490623,233.6129197330448,232.35236309523813
228.61966666666666,232.524,231.85233333333335
226.67316666666665,230.8915,230.13483333333335
229.26795238095235,232.01996428571434,231.84421428571434
228.82614203851696,231.65481931956924,231.7042903346654
229.3475,232.1665,231.43299999999996
229.05738095238092,231.91776190476196,232.0370039682539
227.54421428571425,231.21992857142857,230.71492857142857
227.6595,231.35,230.58333333333331
229.03225000000003,232.7481666666667,232.09383333333332
229.3660847763348,232.62831259018765,231.6771626984128
228.9274047619048,232.25955952380943,231.9646607142857
228.39239499389504,232.00992582417578,231.23320757020755
227.895,231.64216666666667,231.20933333333335
227.47299999999998,231.3840000000001,230.25091666666663
228.53698809523812,231.5342857142858,231.2213928571429
229.96653932178938,232.46461670274172,232.4725393217894
228.24864285714284,232.73232142857145,232.69985714285716
230.05543181818183,233.8634924242424,233.72916666666669
230.38286850649348,234.0128787878788,233.9013035714285
231.25508333333332,235.06784523809532,234.7904642857143
230.6375972222222,233.89298611111113,233.61823611111112
229.32926821789317,232.4785063131314,232.25630898268398
229.26795238095235,232.01996428571434,231.84421428571434
228.7915,232.23050000000003,231.71449999999996
229.62316666666666,232.92566666666664,231.98241666666664
229.01833333333332,232.72926785714284,232.11244047619047
228.24864285714284,232.73232142857145,232.69985714285716
230.8958333333334,234.02458333333337,233.59124999999997
231.42582142857142,234.44333531746034,234.4114642857143
231.46422619047618,234.89841666666666,234.7006785714285
230.5504408091908,233.48775426656667,233.28843464868456
230.21345238095236,232.51657142857144,232.34197619047617
231.5765238095238,234.56452380952382,234.93989285714287
231.01141666666666,234.2880833333333,234.87258333333335
231.6027619047619,234.87969047619052,235.23840476190477
232.22158333333334,235.44554166666668,235.34245833333335
231.3481214896215,233.71889360639364,234.41328260628256
230.12025937950943,233.09370093795093,233.31886904761907
228.776243624431,231.88701006632246,231.9114470737596
228.39239499389504,232.00992582417578,231.23320757020755
228.0532976190476,231.9823333333334,231.52442857142853
228.776243624431,231.88701006632246,231.9114470737596
228.81165349927852,232.17431818181817,231.5758235930736
230.14458333333332,232.9212023809524,232.423
229.09526388888892,231.9326666666667,231.27929166666672
229.05762481962475,231.5928874458874,231.29917388167397
